tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,4.371990,5.466782,0.000000,0.010000,0.010000,0.000000
blue,10.619815,0.470162,0.000000,0.010000,0.010000,0.000000
blue,16.867640,-4.526458,0.000000,0.010000,0.010000,0.000000
blue,23.115465,-9.523078,0.000000,0.010000,0.010000,0.000000
blue,29.363290,-14.519697,0.000000,0.010000,0.010000,0.000000
blue,35.610920,-19.516560,0.000000,0.010000,0.010000,0.000000
blue,41.858450,-24.513549,0.000000,0.010000,0.010000,0.000000
blue,48.105979,-29.510538,0.000000,0.010000,0.010000,0.000000
blue,54.353508,-34.507527,0.000000,0.010000,0.010000,0.000000
blue,60.601038,-39.504516,0.000000,0.010000,0.010000,0.000000
blue,66.848339,-44.501795,0.000000,0.010000,0.010000,0.000000
blue,73.095534,-49.499210,0.000000,0.010000,0.010000,0.000000
blue,79.342729,-54.496624,0.000000,0.010000,0.010000,0.000000
blue,85.589923,-59.494039,0.000000,0.010000,0.010000,0.000000
blue,91.837118,-64.491454,0.000000,0.010000,0.010000,0.000000
blue,98.084239,-69.488963,0.000000,0.010000,0.010000,0.000000
blue,104.331050,-74.486872,0.000000,0.010000,0.010000,0.000000
blue,110.577861,-79.484780,0.000000,0.010000,0.010000,0.000000
blue,116.824673,-84.482688,0.000000,0.010000,0.010000,0.000000
blue,123.071484,-89.480597,0.000000,0.010000,0.010000,0.000000
blue,129.318295,-94.478505,0.000000,0.010000,0.010000,0.000000
blue,135.564967,-99.476594,0.000000,0.010000,0.010000,0.000000
blue,141.811333,-104.475081,0.000000,0.010000,0.010000,0.000000
blue,148.057700,-109.473569,0.000000,0.010000,0.010000,0.000000
blue,154.304066,-114.472056,0.000000,0.010000,0.010000,0.000000
blue,160.550432,-119.470543,0.000000,0.010000,0.010000,0.000000
blue,166.796799,-124.469030,0.000000,0.010000,0.010000,0.000000
blue,173.043079,-129.467629,0.000000,0.010000,0.010000,0.000000
blue,179.288923,-134.466804,0.000000,0.010000,0.010000,0.000000
blue,185.534766,-139.465978,0.000000,0.010000,0.010000,0.000000
blue,191.780610,-144.465152,0.000000,0.010000,0.010000,0.000000
blue,198.026453,-149.464327,0.000000,0.010000,0.010000,0.000000
blue,204.272297,-154.463501,0.000000,0.010000,0.010000,0.000000
blue,210.518140,-159.462675,0.000000,0.010000,0.010000,0.000000
blue,216.763444,-164.462567,0.000000,0.010000,0.010000,0.000000
blue,223.008664,-169.462570,0.000000,0.010000,0.010000,0.000000
blue,229.253884,-174.462574,0.000000,0.010000,0.010000,0.000000
blue,235.499104,-179.462577,0.000000,0.010000,0.010000,0.000000
blue,241.744324,-184.462580,0.000000,0.010000,0.010000,0.000000
blue,247.989545,-189.462584,0.000000,0.010000,0.010000,0.000000
blue,254.234357,-194.463137,0.000000,0.010000,0.010000,0.000000
blue,260.478821,-199.464160,0.000000,0.010000,0.010000,0.000000
blue,266.723285,-204.465183,0.000000,0.010000,0.010000,0.000000
blue,272.967750,-209.466207,0.000000,0.010000,0.010000,0.000000
blue,279.212214,-214.467230,0.000000,0.010000,0.010000,0.000000
blue,285.456678,-219.468253,0.000000,0.010000,0.010000,0.000000
blue,291.700855,-224.469670,0.000000,0.010000,0.010000,0.000000
blue,297.944385,-229.471979,0.000000,0.010000,0.010000,0.000000
blue,304.187915,-234.474287,0.000000,0.010000,0.010000,0.000000
blue,310.431445,-239.476596,0.000000,0.010000,0.010000,0.000000
blue,316.674975,-244.478905,0.000000,0.010000,0.010000,0.000000
blue,322.918504,-249.481213,0.000000,0.010000,0.010000,0.000000
blue,329.161693,-254.484005,0.000000,0.010000,0.010000,0.000000
blue,335.404040,-259.487985,0.000000,0.010000,0.010000,0.000000
blue,341.646388,-264.491966,0.000000,0.010000,0.010000,0.000000
blue,347.888736,-269.495947,0.000000,0.010000,0.010000,0.000000
blue,354.131083,-274.499927,0.000000,0.010000,0.010000,0.000000
blue,360.373431,-279.503908,0.000000,0.010000,0.010000,0.000000
blue,366.614848,-284.509264,0.000000,0.010000,0.010000,0.000000
blue,372.855660,-289.515513,0.000000,0.010000,0.010000,0.000000
blue,379.096472,-294.521763,0.000000,0.010000,0.010000,0.000000
blue,385.337284,-299.528012,0.000000,0.010000,0.010000,0.000000
blue,391.578096,-304.534262,0.000000,0.010000,0.010000,0.000000
blue,397.818128,-309.541753,0.000000,0.010000,0.010000,0.000000
blue,404.056887,-314.551270,0.000000,0.010000,0.010000,0.000000
blue,410.295646,-319.560788,0.000000,0.010000,0.010000,0.000000
blue,416.534406,-324.570305,0.000000,0.010000,0.010000,0.000000
blue,422.773165,-329.579823,0.000000,0.010000,0.010000,0.000000
blue,429.009882,-334.593116,0.000000,0.010000,0.010000,0.000000
blue,435.245850,-339.607796,0.000000,0.010000,0.010000,0.000000
blue,441.481817,-344.622477,0.000000,0.010000,0.010000,0.000000
blue,447.717784,-349.637158,0.000000,0.010000,0.010000,0.000000
blue,453.951032,-354.659366,0.000000,0.010000,0.010000,0.000000
blue,460.183518,-359.683680,0.000000,0.010000,0.010000,0.000000
blue,466.416002,-364.707997,0.000000,0.010000,0.010000,0.000000
blue,472.649945,-369.749950,0.000000,0.010000,0.010000,0.000000
blue,478.884625,-374.801376,0.000000,0.010000,0.010000,0.000000
blue,485.101785,-379.874818,0.000000,0.010000,0.010000,0.000000
blue,491.213293,-384.917854,0.000000,0.010000,0.010000,0.000000
blue,497.272160,-389.739044,0.000000,0.010000,0.010000,0.000000
blue,503.511357,-394.355190,0.000000,0.010000,0.010000,0.000000
blue,509.901411,-398.750595,0.000000,0.010000,0.010000,0.000000
blue,516.418246,-402.916974,0.000000,0.010000,0.010000,0.000000
blue,523.057980,-406.799383,0.000000,0.010000,0.010000,0.000000
blue,529.802483,-410.356269,0.000000,0.010000,0.010000,0.000000
blue,536.632654,-413.463324,0.000000,0.010000,0.010000,0.000000
blue,543.484261,-416.012216,0.000000,0.010000,0.010000,0.000000
blue,550.192559,-417.708531,0.000000,0.010000,0.010000,0.000000
blue,556.244669,-418.168389,0.000000,0.010000,0.010000,0.000000
blue,559.236798,-417.713849,0.000000,0.010000,0.010000,0.000000
blue,560.472235,-417.954374,0.000000,0.010000,0.010000,0.000000
blue,561.564726,-416.412569,0.000000,0.010000,0.010000,0.000000
blue,562.000746,-412.551564,0.000000,0.010000,0.010000,0.000000
blue,561.844582,-408.113488,0.000000,0.010000,0.010000,0.000000
blue,560.835177,-400.653675,0.000000,0.010000,0.010000,0.000000
blue,559.335988,-393.082793,0.000000,0.010000,0.010000,0.000000
blue,557.534759,-385.484696,0.000000,0.010000,0.010000,0.000000
blue,555.470431,-377.890053,0.000000,0.010000,0.010000,0.000000
blue,553.266459,-370.307101,0.000000,0.010000,0.010000,0.000000
blue,550.961512,-362.734789,0.000000,0.010000,0.010000,0.000000
blue,548.552332,-355.176455,0.000000,0.010000,0.010000,0.000000
blue,546.051346,-347.633433,0.000000,0.010000,0.010000,0.000000
blue,543.504291,-340.098508,0.000000,0.010000,0.010000,0.000000
blue,540.896957,-332.574660,0.000000,0.010000,0.010000,0.000000
blue,538.240108,-325.059749,0.000000,0.010000,0.010000,0.000000
blue,535.556685,-317.549182,0.000000,0.010000,0.010000,0.000000
blue,532.837556,-310.043651,0.000000,0.010000,0.010000,0.000000
blue,530.095162,-302.538213,0.000000,0.010000,0.010000,0.000000
blue,527.340295,-295.029868,0.000000,0.010000,0.010000,0.000000
blue,524.575436,-287.515469,0.000000,0.010000,0.010000,0.000000
blue,521.813261,-279.977864,0.000000,0.010000,0.010000,0.000000
blue,519.069272,-272.401446,0.000000,0.010000,0.010000,0.000000
blue,516.365331,-264.736580,0.000000,0.010000,0.010000,0.000000
blue,513.742612,-256.798557,0.000000,0.010000,0.010000,0.000000
blue,511.700634,-248.371627,0.000000,0.010000,0.010000,0.000000
blue,510.388311,-239.998955,0.000000,0.010000,0.010000,0.000000
blue,509.641252,-231.571031,0.000000,0.010000,0.010000,0.000000
blue,509.386372,-223.107865,0.000000,0.010000,0.010000,0.000000
blue,509.751787,-214.631605,0.000000,0.010000,0.010000,0.000000
blue,510.666434,-206.179214,0.000000,0.010000,0.010000,0.000000
blue,512.162322,-197.790074,0.000000,0.010000,0.010000,0.000000
blue,514.278798,-189.515640,0.000000,0.010000,0.010000,0.000000
blue,517.073303,-181.428804,0.000000,0.010000,0.010000,0.000000
blue,520.488057,-173.577244,0.000000,0.010000,0.010000,0.000000
blue,524.509976,-166.019941,0.000000,0.010000,0.010000,0.000000
blue,529.110039,-158.810383,0.000000,0.010000,0.010000,0.000000
blue,534.244707,-151.991338,0.000000,0.010000,0.010000,0.000000
blue,539.859460,-145.590702,0.000000,0.010000,0.010000,0.000000
blue,545.893741,-139.619349,0.000000,0.010000,0.010000,0.000000
blue,552.310801,-134.106622,0.000000,0.010000,0.010000,0.000000
blue,558.931230,-129.183356,0.000000,0.010000,0.010000,0.000000
blue,565.594947,-124.569134,0.000000,0.010000,0.010000,0.000000
blue,572.285891,-120.098701,0.000000,0.010000,0.010000,0.000000
blue,579.003925,-115.671902,0.000000,0.010000,0.010000,0.000000
blue,585.751255,-111.292921,0.000000,0.010000,0.010000,0.000000
blue,592.527944,-106.962619,0.000000,0.010000,0.010000,0.000000
blue,599.328195,-102.671901,0.000000,0.010000,0.010000,0.000000
blue,606.151479,-98.420292,0.000000,0.010000,0.010000,0.000000
blue,612.997258,-94.207300,0.000000,0.010000,0.010000,0.000000
blue,619.864971,-90.032407,0.000000,0.010000,0.010000,0.000000
blue,626.754030,-85.895048,0.000000,0.010000,0.010000,0.000000
blue,633.665463,-81.797600,0.000000,0.010000,0.010000,0.000000
blue,640.596352,-77.735393,0.000000,0.010000,0.010000,0.000000
blue,647.545649,-73.707049,0.000000,0.010000,0.010000,0.000000
blue,654.512575,-69.711732,0.000000,0.010000,0.010000,0.000000
blue,661.496182,-65.748418,0.000000,0.010000,0.010000,0.000000
blue,668.495278,-61.815833,0.000000,0.010000,0.010000,0.000000
blue,675.509662,-57.915490,0.000000,0.010000,0.010000,0.000000
blue,682.535592,-54.042701,0.000000,0.010000,0.010000,0.000000
blue,689.569100,-50.194112,0.000000,0.010000,0.010000,0.000000
blue,696.558532,-46.392074,0.000000,0.010000,0.010000,0.000000
blue,703.156539,-42.688572,0.000000,0.010000,0.010000,0.000000
blue,709.345856,-38.608393,0.000000,0.010000,0.010000,0.000000
blue,715.134777,-34.022687,0.000000,0.010000,0.010000,0.000000
blue,720.500896,-28.945661,0.000000,0.010000,0.010000,0.000000
blue,725.430542,-23.398682,0.000000,0.010000,0.010000,0.000000
blue,729.932393,-17.424536,0.000000,0.010000,0.010000,0.000000
blue,734.035934,-11.081176,0.000000,0.010000,0.010000,0.000000
blue,737.786658,-4.432863,0.000000,0.010000,0.010000,0.000000
blue,741.239136,2.458221,0.000000,0.010000,0.010000,0.000000
blue,744.449838,9.537479,0.000000,0.010000,0.010000,0.000000
blue,747.475462,16.794670,0.000000,0.010000,0.010000,0.000000
blue,750.457560,24.248761,0.000000,0.010000,0.010000,0.000000
blue,753.557620,31.811576,0.000000,0.010000,0.010000,0.000000
blue,756.989391,39.462079,0.000000,0.010000,0.010000,0.000000
blue,761.054482,47.105053,0.000000,0.010000,0.010000,0.000000
blue,766.054711,54.485846,0.000000,0.010000,0.010000,0.000000
blue,772.108170,61.190434,0.000000,0.010000,0.010000,0.000000
blue,779.010194,66.878460,0.000000,0.010000,0.010000,0.000000
blue,786.395152,71.571082,0.000000,0.010000,0.010000,0.000000
blue,794.030517,75.414138,0.000000,0.010000,0.010000,0.000000
blue,801.746007,78.645492,0.000000,0.010000,0.010000,0.000000
blue,809.249034,81.411399,0.000000,0.010000,0.010000,0.000000
blue,816.531084,84.146987,0.000000,0.010000,0.010000,0.000000
blue,823.571942,87.096359,0.000000,0.010000,0.010000,0.000000
blue,830.283251,90.349659,0.000000,0.010000,0.010000,0.000000
blue,836.535471,94.020931,0.000000,0.010000,0.010000,0.000000
blue,842.128605,98.284947,0.000000,0.010000,0.010000,0.000000
blue,846.990415,103.209484,0.000000,0.010000,0.010000,0.000000
blue,851.075293,108.837750,0.000000,0.010000,0.010000,0.000000
blue,854.413322,115.105774,0.000000,0.010000,0.010000,0.000000
blue,856.991369,121.935663,0.000000,0.010000,0.010000,0.000000
blue,859.020113,129.105853,0.000000,0.010000,0.010000,0.000000
blue,860.485530,136.559457,0.000000,0.010000,0.010000,0.000000
blue,861.582632,144.268364,0.000000,0.010000,0.010000,0.000000
blue,862.522306,152.354357,0.000000,0.010000,0.010000,0.000000
blue,863.667663,160.601562,0.000000,0.010000,0.010000,0.000000
blue,865.215378,168.838641,0.000000,0.010000,0.010000,0.000000
blue,867.259321,177.034437,0.000000,0.010000,0.010000,0.000000
blue,869.901373,185.134563,0.000000,0.010000,0.010000,0.000000
blue,873.136800,193.083486,0.000000,0.010000,0.010000,0.000000
blue,877.144459,200.738278,0.000000,0.010000,0.010000,0.000000
blue,881.825514,208.020633,0.000000,0.010000,0.010000,0.000000
blue,887.161308,214.813049,0.000000,0.010000,0.010000,0.000000
blue,893.057551,221.022197,0.000000,0.010000,0.010000,0.000000
blue,899.327847,226.696292,0.000000,0.010000,0.010000,0.000000
blue,905.835078,231.906479,0.000000,0.010000,0.010000,0.000000
blue,912.465862,236.753052,0.000000,0.010000,0.010000,0.000000
blue,919.261669,241.407215,0.000000,0.010000,0.010000,0.000000
blue,926.276511,245.855094,0.000000,0.010000,0.010000,0.000000
blue,933.512234,250.008783,0.000000,0.010000,0.010000,0.000000
blue,941.006132,253.790891,0.000000,0.010000,0.010000,0.000000
blue,948.755185,257.167602,0.000000,0.010000,0.010000,0.000000
blue,956.779527,260.053812,0.000000,0.010000,0.010000,0.000000
blue,965.116352,262.278037,0.000000,0.010000,0.010000,0.000000
blue,973.731158,263.735752,0.000000,0.010000,0.010000,0.000000
blue,982.576000,264.242989,0.000000,0.010000,0.010000,0.000000
blue,991.532989,263.602201,0.000000,0.010000,0.010000,0.000000
blue,1000.393837,261.655371,0.000000,0.010000,0.010000,0.000000
blue,1008.616679,258.445660,0.000000,0.010000,0.010000,0.000000
blue,1015.825407,254.927564,0.000000,0.010000,0.010000,0.000000
blue,1023.002283,251.414787,0.000000,0.010000,0.010000,0.000000
blue,1030.186312,247.910732,0.000000,0.010000,0.010000,0.000000
blue,1037.374449,244.412591,0.000000,0.010000,0.010000,0.000000
blue,1044.565903,240.919862,0.000000,0.010000,0.010000,0.000000
blue,1051.760420,237.432891,0.000000,0.010000,0.010000,0.000000
blue,1058.957184,233.950880,0.000000,0.010000,0.010000,0.000000
blue,1066.155945,230.474126,0.000000,0.010000,0.010000,0.000000
blue,1073.356729,227.004644,0.000000,0.010000,0.010000,0.000000
blue,1080.558739,223.543226,0.000000,0.010000,0.010000,0.000000
blue,1087.759954,220.096639,0.000000,0.010000,0.010000,0.000000
blue,1094.944688,216.684459,0.000000,0.010000,0.010000,0.000000
blue,1101.410255,213.782130,0.000000,0.010000,0.010000,0.000000
blue,1107.785475,212.000192,0.000000,0.010000,0.010000,0.000000
blue,1114.366685,211.502321,0.000000,0.010000,0.010000,0.000000
blue,1121.061872,212.307315,0.000000,0.010000,0.010000,0.000000
blue,1127.743520,214.291722,0.000000,0.010000,0.010000,0.000000
blue,1134.288744,217.295495,0.000000,0.010000,0.010000,0.000000
blue,1140.626412,221.086268,0.000000,0.010000,0.010000,0.000000
blue,1146.752362,225.445874,0.000000,0.010000,0.010000,0.000000
blue,1152.653832,230.273943,0.000000,0.010000,0.010000,0.000000
blue,1158.355209,235.452368,0.000000,0.010000,0.010000,0.000000
blue,1163.889235,240.888063,0.000000,0.010000,0.010000,0.000000
blue,1169.272677,246.533904,0.000000,0.010000,0.010000,0.000000
blue,1174.510498,252.360397,0.000000,0.010000,0.010000,0.000000
blue,1179.606857,258.305637,0.000000,0.010000,0.010000,0.000000
blue,1184.587797,264.409813,0.000000,0.010000,0.010000,0.000000
blue,1189.481981,270.618317,0.000000,0.010000,0.010000,0.000000
blue,1194.334356,276.944148,0.000000,0.010000,0.010000,0.000000
blue,1199.250782,283.374170,0.000000,0.010000,0.010000,0.000000
blue,1204.462279,289.890700,0.000000,0.010000,0.010000,0.000000
blue,1210.413337,296.349975,0.000000,0.010000,0.010000,0.000000
blue,1217.595477,302.247903,0.000000,0.010000,0.010000,0.000000
blue,1225.963838,306.671988,0.000000,0.010000,0.010000,0.000000
blue,1231.436557,308.479859,0.000000,0.010000,0.010000,0.000000
blue,1240.122753,310.202418,0.000000,0.010000,0.010000,0.000000
blue,1248.777467,310.959200,0.000000,0.010000,0.010000,0.000000
blue,1257.627579,310.823957,0.000000,0.010000,0.010000,0.000000
blue,1266.553533,309.471198,0.000000,0.010000,0.010000,0.000000
blue,1275.290183,306.668589,0.000000,0.010000,0.010000,0.000000
blue,1283.462588,302.371198,0.000000,0.010000,0.010000,0.000000
blue,1290.664139,296.715035,0.000000,0.010000,0.010000,0.000000
blue,1296.762446,290.136185,0.000000,0.010000,0.010000,0.000000
blue,1301.817319,283.036972,0.000000,0.010000,0.010000,0.000000
blue,1305.953654,276.022510,0.000000,0.010000,0.010000,0.000000
blue,1309.881157,269.630752,0.000000,0.010000,0.010000,0.000000
blue,1314.009936,264.193630,0.000000,0.010000,0.010000,0.000000
blue,1316.739904,261.561876,0.000000,0.010000,0.010000,0.000000
blue,1319.627546,259.659663,0.000000,0.010000,0.010000,0.000000
blue,1322.804393,258.452993,0.000000,0.010000,0.010000,0.000000
blue,1326.410065,257.948269,0.000000,0.010000,0.010000,0.000000
blue,1330.408443,258.126455,0.000000,0.010000,0.010000,0.000000
