s_m,left_x_m,left_y_m,right_x_m,right_y_m
0.000000,4.371990,5.466782,-4.371990,-5.466782
34.743713,31.506069,-16.233359,22.761442,-27.166405
74.553230,62.594960,-41.099324,53.849594,-52.031779
118.459830,96.881595,-68.526759,88.135374,-79.458531
165.494787,133.608907,-97.911310,124.861689,-108.842284
214.689381,172.019839,-128.648628,163.271441,-139.578657
265.074887,211.357337,-160.134368,202.607523,-171.063264
315.682583,250.864362,-191.764200,242.112816,-202.691708
365.543748,289.783895,-222.933804,281.030180,-233.859576
413.689660,327.358950,-253.038893,318.602444,-263.962427
459.151600,362.832604,-281.475226,354.072370,-292.395771
500.960849,395.448061,-307.638668,386.682596,-318.555015
538.148693,424.448812,-330.925313,415.675474,-341.835333
569.746425,449.079115,-350.731879,440.292586,-361.631278
594.785356,468.585962,-366.457312,459.772783,-377.335174
612.296849,482.233288,-377.514554,473.337969,-388.325349
621.312537,489.216907,-383.260877,480.278173,-394.035802
625.897189,492.622154,-386.088161,483.929967,-397.062945
630.729637,496.289813,-388.995119,487.838745,-400.156635
635.764492,500.182439,-391.944509,491.974209,-403.285803
640.956488,504.262934,-394.899839,496.305706,-406.418629
646.260607,508.494248,-397.825074,500.802540,-409.522836
651.632223,512.839111,-400.684460,505.434232,-412.565864
657.027251,517.259779,-403.442432,510.170780,-415.514967
662.402336,521.717729,-406.063579,514.982958,-418.337245
667.715097,526.173283,-408.512672,519.842697,-420.999613
672.924458,530.585102,-410.754797,524.723589,-423.468674
677.991100,534.909497,-412.755652,529.601574,-425.710418
682.878114,539.099491,-414.482156,534.455884,-427.689613
687.551939,543.103604,-415.903644,539.270249,-429.368613
691.983760,546.864485,-416.994139,544.034272,-430.705080
696.151606,550.318037,-417.736539,548.744304,-431.647807
700.043531,553.395062,-418.129663,553.401796,-432.129662
703.662382,556.030435,-418.197833,558.004123,-432.058011
707.032610,558.188182,-417.996227,562.519513,-431.309363
710.208855,559.903976,-417.590888,566.844546,-429.749363
713.283697,560.395131,-418.012601,571.694160,-426.278915
716.652872,561.190572,-417.954241,574.877383,-420.898931
721.177394,561.985655,-414.990209,575.985631,-415.016352
727.123337,562.041969,-409.851748,575.951524,-408.262947
734.457773,561.283544,-403.056345,575.045240,-400.484243
743.050705,559.773438,-394.934000,573.397932,-391.713258
752.735234,557.603119,-385.736035,571.112342,-382.061679
763.327937,554.870163,-375.679946,568.285103,-371.675027
774.637004,551.673239,-364.967290,565.011755,-360.714760
786.465956,548.110929,-353.791411,561.387929,-349.350546
798.615518,544.281470,-342.341056,557.509594,-337.756653
810.884659,540.282742,-330.802164,553.473082,-326.110156
823.071200,536.212273,-319.358764,549.375073,-314.590042
834.972193,532.167231,-308.193354,545.312611,-303.376823
846.384193,528.244339,-297.486894,541.383181,-292.652557
857.103453,524.539682,-287.418296,537.684909,-282.601345
866.926119,521.148250,-278.162995,534.317013,-273.410765
875.648468,518.162860,-269.889128,531.380887,-265.275696
883.067340,515.671336,-262.745974,528.982918,-258.409872
888.981140,513.748147,-256.818598,527.242844,-253.091243
893.193175,512.524784,-252.339582,526.223386,-249.450240
896.751873,511.746409,-248.630791,525.532861,-246.194861
900.796132,511.004290,-244.405977,524.867618,-242.454535
905.281479,510.347374,-239.703837,524.274121,-238.273555
910.166092,509.825183,-234.563565,523.798258,-233.695718
915.411233,509.487789,-229.024710,523.485370,-228.764465
920.981753,509.385825,-223.127205,523.380233,-223.522855
926.846661,509.570493,-216.911481,523.527057,-218.013448
932.979768,510.093540,-210.418666,523.969508,-212.278106
939.360393,511.007161,-203.690837,524.750800,-206.357742
945.974119,512.363814,-196.771307,525.913886,-200.292036
952.813568,514.215906,-189.704893,527.501772,-194.119159
959.879156,516.615344,-182.538112,529.557961,-187.875588
967.179764,519.612979,-175.319210,532.127014,-181.596065
974.733245,523.258009,-168.097950,535.255143,-175.313820
982.566714,527.597466,-160.925115,538.990728,-169.061058
990.716519,532.675918,-153.851752,543.384612,-162.869726
999.227886,538.535518,-146.928263,548.490053,-156.772411
1008.154216,545.216429,-140.203540,554.362300,-150.803212
1017.556091,552.757550,-133.724314,561.057864,-144.998389
1027.500088,561.005591,-127.659515,568.825446,-139.272003
1037.691942,569.510166,-121.932851,577.228411,-133.613120
1047.773223,577.969254,-116.343426,585.591049,-128.086860
1057.724899,586.362654,-110.896143,593.892913,-122.698481
1067.527793,594.670150,-105.595925,602.113570,-117.453222
1077.162599,602.871514,-100.447716,610.232600,-112.356302
1086.609892,610.946502,-95.456478,618.229598,-107.412920
1095.850141,618.874854,-90.627191,626.084176,-102.628260
1104.863719,626.636294,-85.964850,633.775961,-98.007489
1113.630909,634.210527,-81.474467,641.284598,-93.555755
1122.131914,641.577239,-77.161071,648.589756,-89.278192
1130.346863,648.716088,-73.029710,655.671126,-85.179914
1138.255820,655.606702,-69.085452,662.508431,-81.266016
1145.838786,662.228670,-65.333390,669.081435,-77.541568
1153.075708,668.561528,-61.778646,675.369953,-74.011608
