s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
0.000000,0.000000,0.000000,0.000000,-0.674581,-0.000001
34.743713,27.133756,-21.699882,0.000000,-0.674640,-0.000001
74.553230,58.222277,-46.565552,0.000000,-0.674708,-0.000002
118.459830,92.508484,-73.992645,0.000000,-0.674786,-0.000002
165.494787,129.235298,-103.376797,0.000000,-0.674877,-0.000002
214.689381,167.645640,-134.113642,0.000000,-0.674985,-0.000002
265.074887,206.982430,-165.598816,0.000000,-0.675115,-0.000003
315.682583,246.488589,-197.227954,0.000000,-0.675273,-0.000003
365.543748,285.407038,-228.396690,0.000000,-0.675471,-0.000004
413.689660,322.980697,-258.500660,0.000000,-0.675727,-0.000006
459.151600,358.452487,-286.935499,0.000000,-0.676068,-0.000008
500.960849,391.065329,-313.096841,0.000000,-0.676547,-0.000013
538.148693,420.062143,-336.380323,0.000000,-0.677269,-0.000023
569.746425,444.685851,-356.181578,0.000000,-0.678479,-0.000048
594.785356,464.179372,-371.896243,0.000000,-0.680926,-0.000140
612.296849,477.785628,-382.919952,0.000000,-0.688500,-0.000840
621.312537,484.747540,-388.648339,0.000000,-0.692523,-0.000877
625.897189,488.276060,-391.575553,0.000000,-0.669853,0.004691
630.729637,492.064279,-394.575877,0.000000,-0.648069,0.004327
635.764492,496.078324,-397.615156,0.000000,-0.626487,0.004157
640.956488,500.284320,-400.659234,0.000000,-0.604528,0.004140
646.260607,504.648394,-403.673955,0.000000,-0.581655,0.004258
651.632223,509.136671,-406.625162,0.000000,-0.557327,0.004509
657.027251,513.715279,-409.478700,0.000000,-0.530955,0.004906
662.402336,518.350343,-412.200412,0.000000,-0.501858,0.005477
667.715097,523.007990,-414.756143,0.000000,-0.469213,0.006267
672.924458,527.654345,-417.111736,0.000000,-0.431991,0.007347
677.991100,532.255536,-419.233035,0.000000,-0.388864,0.008825
682.878114,536.777687,-421.085884,0.000000,-0.338090,0.010863
687.551939,541.186926,-422.636128,0.000000,-0.277353,0.013705
691.983760,545.449379,-423.849610,0.000000,-0.203561,0.017705
696.151606,549.531171,-424.692173,0.000000,-0.112648,0.023359
700.043531,553.398429,-425.129663,0.000000,0.000481,0.031261
703.662382,557.017279,-425.127922,0.000000,0.141449,0.041827
707.032610,560.353848,-424.652795,0.000000,0.314542,0.054496
710.208855,563.374261,-423.670126,0.000000,0.518704,0.066398
713.283697,566.044645,-422.145758,0.000000,0.939179,0.124801
716.652872,568.033978,-419.426586,0.000000,1.358879,0.092761
721.177394,568.985643,-415.003280,0.000000,1.568929,0.035327
727.123337,568.996746,-409.057347,0.000000,1.684527,0.015761
734.457773,568.164392,-401.770294,0.000000,1.755567,0.008267
743.050705,566.585685,-393.323629,0.000000,1.802928,0.004890
